player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
SB Jakati,25,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
R Ashwin,33,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
AB de Villiers,13,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
SK Raina,81,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
SS Tiwary,10,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
DL Vettori,0,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
V Kohli,75,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
Z Khan,58,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
MEK Hussey,-4,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
S Badrinath,37,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
S Aravind,41,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
LA Pomersbach,33,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
DJ Bravo,25,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
A Mithun,33,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
SP Goswami,8,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
MM Patel,75,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Shakib Al Hasan,84,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Iqbal Abdulla,8,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
B Lee,27,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
YK Pathan,29,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
AC Blizzard,60,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
JEC Franklin,27,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
SR Tendulkar,48,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
R Bhatia,2,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
MK Tiwary,20,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
SL Malinga,33,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
DS Kulkarni,58,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
