player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
BCJ Cutting,59,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
DJ Hooda,43,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
A Choudhary,33,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
CH Gayle,36,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
TM Head,33,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
KM Jadhav,33,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
SR Watson,25,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
MC Henriques,100,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
DA Warner,30,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
Sachin Baby,17,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
Mandeep Singh,37,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
Bipul Sharma,25,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
CJ Jordan (sub),14,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
Yuvraj Singh,85,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
Rashid Khan,58,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
YS Chahal,28,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
S Aravind,0,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
S Dhawan,43,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
TS Mills,39,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
B Kumar,50,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
STR Binny,38,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
A Nehra,58,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore
MS Dhoni,21,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
HH Pandya,63,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
TG Southee,42,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
AM Rahane,72,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
MA Agarwal,11,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
BA Stokes,47,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
PA Patel,21,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
R Bhatia,58,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
"MS Dhoni, AB Dinda",14,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
KH Pandya,1,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
JC Buttler,47,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
SPD Smith,95,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
A Zampa,25,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
DL Chahar,0,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
JJ Bumrah,0,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
RG Sharma,11,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
Imran Tahir,99,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
AT Rayudu,8,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
AB Dinda,25,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
N Rana,45,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
MJ McClenaghan,25,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
KA Pollard,32,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant
MS Gony,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
JJ Roy,15,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
SP Narine,0,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
Kuldeep Yadav,58,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
SB Jakati,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
YK Pathan,8,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
KD Karthik,55,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
SK Raina,73,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
S Kaushik,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
TA Boult,25,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
AJ Finch,19,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
CA Lynn,105,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
BB McCullum,41,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
DS Kulkarni,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
G Gambhir,82,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
P Kumar,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
DR Smith,0,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
CR Woakes,0,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
SA Yadav,16,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
PP Chawla,25,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders
MS Dhoni,1,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
AM Rahane,22,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
T Natarajan,25,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
MM Sharma,0,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
DT Christian,21,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
MA Agarwal,0,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
DA Miller,35,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
BA Stokes,60,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
GJ Maxwell,55,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
R Bhatia,0,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
MK Tiwary,55,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
HM Amla,32,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
RD Chahar,25,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
SPD Smith,27,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
MP Stoinis,33,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
Imran Tahir,58,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
M Vohra,21,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
AR Patel,46,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
Sandeep Sharma,58,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
AB Dinda,25,Rising Pune Supergiant,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
Swapnil Singh,25,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
WP Saha,17,Kings XI Punjab,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab
SW Billings,36,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Iqbal Abdulla,63,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
CH Gayle,5,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
RR Pant,82,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
KM Jadhav,80,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
SR Watson,57,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
AP Tare,19,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
P Negi,70,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Mandeep Singh,15,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
S Nadeem,25,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
CR Brathwaite,1,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Z Khan,76,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
SV Samson,20,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
CH Morris,103,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Vishnu Vinod,11,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
YS Chahal,33,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
KK Nair,5,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
A Mishra,8,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
PJ Cummins,40,Delhi Daredevils,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
TS Mills,33,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
B Stanlake,66,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
STR Binny,23,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
BCJ Cutting,0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
JJ Roy,36,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
MC Henriques,56,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
DA Warner,86,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
KD Karthik,32,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
SK Raina,5,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
S Kaushik,0,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
V Shankar (sub),8,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
NV Ojha,8,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
DS Kulkarni,1,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
AJ Finch,1,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
BB McCullum,11,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Bipul Sharma,0,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Rashid Khan,113,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Tejas Baroka,0,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
P Kumar,32,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
Basil Thampi,13,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
DR Smith,43,Gujarat Lions,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
S Dhawan,19,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
B Kumar,50,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
A Nehra,50,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad
HH Pandya,50,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
R Dhawan (sub),8,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
MK Pandey,92,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
SP Narine,42,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Kuldeep Yadav,33,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
YK Pathan,6,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
PA Patel,29,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
KH Pandya,88,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
CA Lynn,29,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
SL Malinga,50,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
JC Buttler,25,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
MJ McClenaghan,41,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
JJ Bumrah,33,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
G Gambhir,22,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
RG Sharma,2,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
AS Rajpoot,83,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
SA Yadav,19,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
RV Uthappa,13,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
CR Woakes,34,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
N Rana,57,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Harbhajan Singh,1,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
TA Boult,0,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
KA Pollard,36,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Iqbal Abdulla,0,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
T Natarajan,0,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
MM Sharma,0,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
KM Jadhav,1,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
SR Watson,1,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
AB de Villiers,104,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
P Negi,0,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
GJ Maxwell,56,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
Mandeep Singh,31,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
HM Amla,64,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
MP Stoinis,0,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
VR Aaron,58,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
Vishnu Vinod,8,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
YS Chahal,33,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
M Vohra,38,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
AR Patel,44,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
Sandeep Sharma,25,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
TS Mills,33,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
B Stanlake,0,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
STR Binny,19,Royal Challengers Bangalore,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
WP Saha,8,Kings XI Punjab,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
MS Dhoni,21,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
SW Billings,24,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
RR Pant,60,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
AM Rahane,8,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
MA Agarwal,34,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
AP Tare,-4,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
R Bhatia,16,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
BA Stokes,27,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
F du Plessis,9,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
S Nadeem,33,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
A Zampa,39,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
Z Khan,75,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
SV Samson,130,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
CH Morris,89,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
KK Nair,8,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
Imran Tahir,33,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
PJ Cummins,50,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
A Mishra,83,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
AB Dinda,6,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
CJ Anderson,0,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
DL Chahar,43,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
RA Tripathi,10,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant
BCJ Cutting,30,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
DJ Hooda,33,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
HH Pandya,35,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
V Shankar,1,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Mustafizur Rahman,0,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
DA Warner,54,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
PA Patel,54,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
NV Ojha,7,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
KH Pandya,46,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
SL Malinga,25,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
JC Buttler,15,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Yuvraj Singh,4,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Rashid Khan,33,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
JJ Bumrah,83,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
RG Sharma,4,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
S Dhawan,59,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Harbhajan Singh,53,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
N Rana,58,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
MJ McClenaghan,33,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
B Kumar,95,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
KA Pollard,25,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
A Nehra,33,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
I Sharma,0,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
MM Sharma,12,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
SP Narine,86,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
MK Pandey,35,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
C de Grandhomme,25,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
DA Miller,28,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
GJ Maxwell,30,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
UT Yadav,100,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
TA Boult,0,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
HM Amla,27,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
MP Stoinis,8,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
VR Aaron,27,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
G Gambhir,91,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
M Vohra,26,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
AR Patel,41,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
CR Woakes,58,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
RV Uthappa,37,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Sandeep Sharma,0,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
SA Yadav,8,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
PP Chawla,33,Kolkata Knight Riders,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
WP Saha,31,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
HH Pandya,34,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
CH Gayle,38,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
TG Southee,0,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
KM Jadhav,9,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
